series,date,sector,value
abs,2015-01-01,p0,1176941.0
abs,2015-01-01,p1,97539.0
abs,2015-01-01,p2,103059.0
abs,2015-01-01,p3,262379.0
abs,2015-01-01,p4,55382.0
abs,2015-01-01,p5,643883.0
abs,2015-01-01,p6,14699.0
abs,2016-01-01,p0,1249698.0
abs,2016-01-01,p1,105756.0
abs,2016-01-01,p2,103959.0
abs,2016-01-01,p3,272396.0
abs,2016-01-01,p4,61089.0
abs,2016-01-01,p5,689969.0
abs,2016-01-01,p6,16529.0
abs,2017-01-01,p0,1372310.0
abs,2017-01-01,p1,117995.0
abs,2017-01-01,p2,121326.0
abs,2017-01-01,p3,299797.0
abs,2017-01-01,p4,66552.0
abs,2017-01-01,p5,747360.0
abs,2017-01-01,p6,19280.0
abs,2018-01-01,p0,1447760.0
abs,2018-01-01,p1,108757.0
abs,2018-01-01,p2,134833.0
abs,2018-01-01,p3,311676.0
abs,2018-01-01,p4,70048.0
abs,2018-01-01,p5,804993.0
abs,2018-01-01,p6,17453.0
abs,2019-01-01,p0,1512738.0
abs,2019-01-01,p1,109542.0
abs,2019-01-01,p2,131084.0
abs,2019-01-01,p3,323862.0
abs,2019-01-01,p4,71067.0
abs,2019-01-01,p5,860130.0
abs,2019-01-01,p6,17053.0
abs,2020-01-01,p0,1418491.0
abs,2020-01-01,p1,115834.0
abs,2020-01-01,p2,96172.0
abs,2020-01-01,p3,315360.0
abs,2020-01-01,p4,57657.0
abs,2020-01-01,p5,817713.0
abs,2020-01-01,p6,15755.0
abs,2021-01-01,p0,1548701.0
abs,2021-01-01,p1,148152.0
abs,2021-01-01,p2,124355.0
abs,2021-01-01,p3,361826.0
abs,2021-01-01,p4,55654.0
abs,2021-01-01,p5,841692.0
abs,2021-01-01,p6,17023.0
abs,2022-01-01,p0,1793903.0
abs,2022-01-01,p1,160567.0
abs,2022-01-01,p2,178439.0
abs,2022-01-01,p3,418538.0
abs,2022-01-01,p4,60810.0
abs,2022-01-01,p5,956737.0
abs,2022-01-01,p6,18812.0
abs,2023-01-01,p0,1822904.0
abs,2023-01-01,p1,141930.0
abs,2023-01-01,p2,155983.0
abs,2023-01-01,p3,419584.0
abs,2023-01-01,p4,65949.0
abs,2023-01-01,p5,1018972.0
abs,2023-01-01,p6,20487.0
growth_yoy,2016-01-01,p0,6.182
growth_yoy,2016-01-01,p1,8.424
growth_yoy,2016-01-01,p2,0.873
growth_yoy,2016-01-01,p3,3.818
growth_yoy,2016-01-01,p4,10.305
growth_yoy,2016-01-01,p5,7.158
growth_yoy,2016-01-01,p6,12.45
growth_yoy,2017-01-01,p0,9.811
growth_yoy,2017-01-01,p1,11.573
growth_yoy,2017-01-01,p2,16.706
growth_yoy,2017-01-01,p3,10.059
growth_yoy,2017-01-01,p4,8.943
growth_yoy,2017-01-01,p5,8.318
growth_yoy,2017-01-01,p6,16.643
growth_yoy,2018-01-01,p0,5.498
growth_yoy,2018-01-01,p1,-7.829
growth_yoy,2018-01-01,p2,11.133
growth_yoy,2018-01-01,p3,3.962
growth_yoy,2018-01-01,p4,5.253
growth_yoy,2018-01-01,p5,7.712
growth_yoy,2018-01-01,p6,-9.476
growth_yoy,2019-01-01,p0,4.488
growth_yoy,2019-01-01,p1,0.722
growth_yoy,2019-01-01,p2,-2.78
growth_yoy,2019-01-01,p3,3.91
growth_yoy,2019-01-01,p4,1.455
growth_yoy,2019-01-01,p5,6.849
growth_yoy,2019-01-01,p6,-2.292
growth_yoy,2020-01-01,p0,-6.23
growth_yoy,2020-01-01,p1,5.744
growth_yoy,2020-01-01,p2,-26.633
growth_yoy,2020-01-01,p3,-2.625
growth_yoy,2020-01-01,p4,-18.87
growth_yoy,2020-01-01,p5,-4.931
growth_yoy,2020-01-01,p6,-7.612
growth_yoy,2021-01-01,p0,9.179
growth_yoy,2021-01-01,p1,27.9
growth_yoy,2021-01-01,p2,29.305
growth_yoy,2021-01-01,p3,14.734
growth_yoy,2021-01-01,p4,-3.474
growth_yoy,2021-01-01,p5,2.932
growth_yoy,2021-01-01,p6,8.048
growth_yoy,2022-01-01,p0,15.833
growth_yoy,2022-01-01,p1,8.38
growth_yoy,2022-01-01,p2,43.492
growth_yoy,2022-01-01,p3,15.674
growth_yoy,2022-01-01,p4,9.264
growth_yoy,2022-01-01,p5,13.668
growth_yoy,2022-01-01,p6,10.509
growth_yoy,2023-01-01,p0,1.617
growth_yoy,2023-01-01,p1,-11.607
growth_yoy,2023-01-01,p2,-12.585
growth_yoy,2023-01-01,p3,0.25
growth_yoy,2023-01-01,p4,8.451
growth_yoy,2023-01-01,p5,6.505
growth_yoy,2023-01-01,p6,8.904
